movie_title,genres,director_name,actor_1_name,actor_2_name,actor_3_name,title_year,plot_keywords
The Hobbit: The Desolation of Smaug ,Adventure|Fantasy,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,2013,dwarf|elf|lake town|mountain|sword and sorcery
The Golden Compass ,Adventure|Family|Fantasy,Chris Weitz,Christopher Lee,Eva Green,Kristin Scott Thomas,2007,children|epic|friend|girl|quest
King Kong ,Action|Adventure|Drama|Romance,Peter Jackson,Naomi Watts,Thomas Kretschmann,Evan Parke,2005,animal name in title|ape abducts a woman|gorilla|island|king kong
Titanic ,Drama|Romance,James Cameron,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,1997,artist|love|ship|titanic|wet
Captain America: Civil War ,Action|Adventure|Sci-Fi,Anthony Russo,Robert Downey Jr.,Scarlett Johansson,Chris Evans,2016,based on comic book|knife|marvel cinematic universe|returning character killed off|superhero
Battleship ,Action|Adventure|Sci-Fi|Thriller,Peter Berg,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,2012,box office flop|hawaii|naval|oahu hawaii|ship
Jurassic World ,Action|Adventure|Sci-Fi|Thriller,Colin Trevorrow,Bryce Dallas Howard,Judy Greer,Omar Sy,2015,dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor
Skyfall ,Action|Adventure|Thriller,Sam Mendes,Albert Finney,Helen McCrory,Rory Kinnear,2012,brawl|childhood home|computer cracker|intelligence agency|terrorist cell
Spider-Man 2 ,Action|Adventure|Fantasy|Romance,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,2004,death|doctor|scientist|super villain|tentacle
Iron Man 3 ,Action|Adventure|Sci-Fi,Shane Black,Robert Downey Jr.,Jon Favreau,Don Cheadle,2013,armor|explosion|human bomb|missile attack|terrorist
Alice in Wonderland ,Adventure|Family|Fantasy,Tim Burton,Johnny Depp,Alan Rickman,Anne Hathaway,2010,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion
X-Men: The Last Stand ,Action|Adventure|Fantasy|Sci-Fi|Thriller,Brett Ratner,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,2006,battle|mutant|outrage|walking through a wall|x men
Monsters University ,Adventure|Animation|Comedy|Family|Fantasy,Dan Scanlon,Steve Buscemi,Tyler Labine,Sean Hayes,2013,cheating|fraternity|monster|singing in a car|university
Transformers: Revenge of the Fallen ,Action|Adventure|Sci-Fi,Michael Bay,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,2009,autobot|decepticon|machine|sun|symbol
Transformers: Age of Extinction ,Action|Adventure|Sci-Fi,Michael Bay,Bingbing Li,Sophia Myles,Kelsey Grammer,2014,blockbuster|bumblebee the character|semi truck and trailer|texas|truck
Oz the Great and Powerful ,Adventure|Family|Fantasy,Sam Raimi,Tim Holmes,Mila Kunis,James Franco,2013,circus|magic|magician|oz|witch
The Amazing Spider-Man 2 ,Action|Adventure|Fantasy|Sci-Fi,Marc Webb,Emma Stone,Andrew Garfield,B.J. Novak,2014,costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager
TRON: Legacy ,Action|Adventure|Sci-Fi,Joseph Kosinski,Jeff Bridges,Olivia Wilde,James Frain,2010,arcade|bridge|disappearance|escape|warrior
Cars 2 ,Adventure|Animation|Comedy|Family|Sport,John Lasseter,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,2011,best friend|car race|conspiracy|gadget car|spy
Green Lantern ,Action|Adventure|Sci-Fi,Martin Campbell,Ryan Reynolds,Temuera Morrison,Taika Waititi,2011,autopsy|lantern|planet|ring|test pilot
Toy Story 3 ,Adventure|Animation|Comedy|Family|Fantasy,Lee Unkrich,Tom Hanks,John Ratzenberger,Don Rickles,2010,college|day care|escape|teddy bear|toy
Terminator Salvation ,Action|Adventure|Sci-Fi,McG,Christian Bale,Bryce Dallas Howard,Common,2009,death row|future|machine|rescue|skynet
Furious 7 ,Action|Crime|Thriller,James Wan,Jason Statham,Paul Walker,Vin Diesel,2015,car falling off a cliff|hospital|revenge|star died before release|terrorist
World War Z ,Action|Adventure|Horror|Sci-Fi|Thriller,Marc Forster,Peter Capaldi,Brad Pitt,Mireille Enos,2013,chaos|disease|infection|pandemic|zombie
X-Men: Days of Future Past ,Action|Adventure|Fantasy|Sci-Fi|Thriller,Bryan Singer,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,2014,dystopia|super strength|supernatural power|time paradox|time travel
Star Trek Into Darkness ,Action|Adventure|Sci-Fi,J.J. Abrams,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,2013,admiral|captain|manhunt|mission|space
Jack the Giant Slayer ,Adventure|Fantasy,Bryan Singer,Eddie Marsan,Ewen Bremner,Ralph Brown,2013,bean|giant|king|no opening credits|princess
The Great Gatsby ,Drama|Romance,Baz Luhrmann,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,2013,ingratitude|mansion|party|title appears in writing|tragedy
Prince of Persia: The Sands of Time ,Action|Adventure|Fantasy|Romance,Mike Newell,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,2010,alamut|dagger|king|persia|princess
Pacific Rim ,Action|Adventure|Sci-Fi,Guillermo del Toro,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,2013,giant monster|kaiju|pilot|portal|robot
Transformers: Dark of the Moon ,Action|Adventure|Sci-Fi,Michael Bay,Glenn Morshower,Lester Speight,Kevin Dunn,2011,autobot|decepticon|job interview|moon|spacecraft
Indiana Jones and the Kingdom of the Crystal Skull ,Action|Adventure|Fantasy,Steven Spielberg,Harrison Ford,Ray Winstone,Jim Broadbent,2008,cult figure|femme fatale|indiana jones|unsubtitled foreign language|year 1957
The Good Dinosaur ,Adventure|Animation|Comedy|Family|Fantasy,Peter Sohn,A.J. Buckley,Jack McGraw,Peter Sohn,2015,apatosaurus|asteroid|dinosaur|fear|river
Brave ,Adventure|Animation|Comedy|Family|Fantasy,Mark Andrews,Kelly Macdonald,John Ratzenberger,Julie Walters,2012,archery|coming of age|female warrior|princess|rebellious daughter
Star Trek Beyond ,Action|Adventure|Sci-Fi|Thriller,Justin Lin,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,2016,hatred|sequel|space opera|star trek|third part
WALL·E ,Adventure|Animation|Family|Sci-Fi,Andrew Stanton,John Ratzenberger,Fred Willard,Jeff Garlin,2008,earth|obesity|plant|robot|soil
Rush Hour 3 ,Action|Comedy|Crime|Thriller,Brett Ratner,Tzi Ma,Dana Ivey,Noémie Lenoir,2007,ambassador|assassination|chinese|french|triad
2012,Action|Adventure|Sci-Fi,Roland Emmerich,Oliver Platt,Liam James,Tom McCarthy,2009,ark|catastrophe|geologist|president|writer
A Christmas Carol ,Animation|Drama|Family|Fantasy,Robert Zemeckis,Robin Wright,Colin Firth,Gary Oldman,2009,charles dickens|christmas|christmas eve|ghost|scrooge
Jupiter Ascending ,Action|Adventure|Sci-Fi,Lana Wachowski,Channing Tatum,Mila Kunis,Eddie Redmayne,2015,box office flop|critically bashed|planet earth|space opera|woman in bra and panties
The Legend of Tarzan ,Action|Adventure|Drama|Romance,David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump,2016,africa|capture|jungle|male objectification|tarzan
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",Adventure|Family|Fantasy,Andrew Adamson,Jim Broadbent,Kiran Shah,Shane Rangi,2005,hide and seek|lion|magic|professor|snow
X-Men: Apocalypse ,Action|Adventure|Sci-Fi,Bryan Singer,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,2016,mutant|superhero|superhero team|x men|year 1983
The Dark Knight ,Action|Crime|Drama|Thriller,Christopher Nolan,Christian Bale,Heath Ledger,Morgan Freeman,2008,based on comic book|dc comics|psychopath|star died before release|urban setting
Up ,Adventure|Animation|Comedy|Family,Pete Docter,John Ratzenberger,Delroy Lindo,Jess Harnell,2009,balloon|house|promise|retirement|skeleton
Monsters vs. Aliens ,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Rob Letterman,Amy Poehler,Rainn Wilson,Stephen Colbert,2009,alien|alien invasion|alien space craft|giant|giantess
Iron Man ,Action|Adventure|Sci-Fi,Jon Favreau,Robert Downey Jr.,Jeff Bridges,Jon Favreau,2008,afghanistan|billionaire|inventor|playboy|u.s. air force
Hugo ,Adventure|Drama|Family|Mystery,Martin Scorsese,Chloë Grace Moretz,Christopher Lee,Ray Winstone,2011,automaton|mechanical|railway station|steampunk|train
Wild Wild West ,Action|Comedy|Sci-Fi|Western,Barry Sonnenfeld,Will Smith,Salma Hayek,Bai Ling,1999,buddy movie|general|inventor|steampunk|utah
The Mummy: Tomb of the Dragon Emperor ,Action|Adventure|Fantasy|Horror|Thriller,Rob Cohen,Jet Li,Brendan Fraser,Russell Wong,2008,army|china|emperor|mummy|shangri la
Suicide Squad ,Action|Adventure|Comedy|Sci-Fi,David Ayer,Will Smith,Robin Atkin Downes,Ike Barinholtz,2016,based on comic book|critically bashed|father daughter relationship|reference to superman|super villain
Evan Almighty ,Comedy|Family|Fantasy,Tom Shadyac,Jimmy Bennett,Morgan Freeman,Steve Carell,2007,ark|change|congressman|depiction of god|flood
Edge of Tomorrow ,Action|Adventure|Sci-Fi,Doug Liman,Tom Cruise,Lara Pulver,Noah Taylor,2014,alien|combat|dying repeatedly|end of the world|time loop
Waterworld ,Action|Adventure|Sci-Fi|Thriller,Kevin Reynolds,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,1995,future|sail|sea|smoker|water
G.I. Joe: The Rise of Cobra ,Action|Adventure|Sci-Fi|Thriller,Stephen Sommers,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,2009,cobra|gi joe|snake|train|warhead
Inside Out ,Adventure|Animation|Comedy|Drama|Family|Fantasy,Pete Docter,Amy Poehler,Mindy Kaling,Phyllis Smith,2015,anger|joy|memory|running away|sadness
The Jungle Book ,Adventure|Drama|Family|Fantasy,Jon Favreau,Scarlett Johansson,Bill Murray,Garry Shandling,2016,fire|jungle|remake|tiger|wolf
Iron Man 2 ,Action|Adventure|Sci-Fi,Jon Favreau,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,2010,hammer|military|monaco|revenge|tony stark
Snow White and the Huntsman ,Action|Adventure|Drama|Fantasy,Rupert Sanders,Chris Hemsworth,Kristen Stewart,Sam Claflin,2012,evil queen|fairy tale|magic|queen|snow white
Maleficent ,Action|Adventure|Family|Fantasy|Romance,Robert Stromberg,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,2014,curse|dark fantasy|fairy|king|kingdom
Dawn of the Planet of the Apes ,Action|Adventure|Drama|Sci-Fi,Matt Reeves,Gary Oldman,Judy Greer,Kodi Smit-McPhee,2014,ape|dam|leader|post apocalypse|sequel
The Lovers ,Action|Adventure|Romance|Sci-Fi,Roland Joffé,Tamsin Egerton,Alice Englert,Bipasha Basu,2015,1770s|british india|great barrier reef|india|ring
47 Ronin ,Action|Adventure|Drama|Fantasy,Carl Rinsch,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,2013,box office flop|ronin|samurai|shogun|tournament
Captain America: The Winter Soldier ,Action|Adventure|Sci-Fi,Anthony Russo,Scarlett Johansson,Chris Evans,Hayley Atwell,2014,conspiracy|heroism|megalomaniac|super soldier|world domination
Shrek Forever After ,Adventure|Animation|Comedy|Family|Fantasy,Mike Mitchell,Jon Hamm,Kathy Griffin,Mary Kay Place,2010,alternate world|fairy tale parody|female warrior|ogre|true love
Tomorrowland ,Action|Adventure|Family|Mystery|Sci-Fi,Brad Bird,Judy Greer,Chris Bauer,Thomas Robinson,2015,boy genius|futuristic city|inventor|teenage girl|time travel
Big Hero 6 ,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,Don Hall,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,2014,high tech|martial arts|masked man|robot|superhero
Wreck-It Ralph ,Adventure|Animation|Comedy|Family|Sci-Fi,Rich Moore,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,2012,arcade|candy|glitch|king|medal
The Polar Express ,Adventure|Animation|Family|Fantasy,Robert Zemeckis,Tom Hanks,Eddie Deezen,Peter Scolari,2004,boy|christmas|christmas eve|north pole|train
Independence Day: Resurgence ,Action|Adventure|Sci-Fi,Roland Emmerich,Vivica A. Fox,Sela Ward,Judd Hirsch,2016,alien|battle|defense|independence day|mothership
How to Train Your Dragon ,Adventure|Animation|Family|Fantasy,Dean DeBlois,Gerard Butler,America Ferrera,Craig Ferguson,2010,dragon|island|training|viking|village
Terminator 3: Rise of the Machines ,Action|Sci-Fi,Jonathan Mostow,Nick Stahl,M.C. Gainey,Carolyn Hennesy,2003,drifter|exploding truck|future|machine|skynet
Guardians of the Galaxy ,Action|Adventure|Sci-Fi,James Gunn,Bradley Cooper,Vin Diesel,Djimon Hounsou,2014,bounty hunter|outer space|raccoon|talking animal|tree
Interstellar ,Adventure|Drama|Sci-Fi,Christopher Nolan,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,2014,black hole|father daughter relationship|saving the world|space travel|wormhole
Inception ,Action|Adventure|Sci-Fi|Thriller,Christopher Nolan,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,2010,ambiguous ending|corporate espionage|dream|subconscious|thief
Godzilla Resurgence ,Action|Adventure|Drama|Horror|Sci-Fi,Hideaki Anno,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,2016,blood|godzilla|monster|sequel
The Hobbit: An Unexpected Journey ,Adventure|Fantasy,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,2012,dragon|dwarf|hobbit|orc|wizard
The Fast and the Furious ,Action|Crime|Thriller,Rob Cohen,Paul Walker,Vin Diesel,Jordana Brewster,2001,eighteen wheeler|illegal street racing|truck|trucker|undercover cop
The Curious Case of Benjamin Button ,Drama|Fantasy|Romance,David Fincher,Brad Pitt,Jason Flemyng,Julia Ormond,2008,deformed baby|diary|lingerie slip|older man younger woman relationship|premature aging
X-Men: First Class ,Action|Adventure|Sci-Fi,Matthew Vaughn,Jennifer Lawrence,Michael Fassbender,Oliver Platt,2011,cia|cia agent|mutant|nuclear war|professor
The Hunger Games: Mockingjay - Part 2 ,Adventure|Sci-Fi,Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,2015,death of sister|dystopia|execution|rebellion|revolution
The Sorcerer's Apprentice ,Action|Adventure|Family|Fantasy,Jon Turteltaub,Nicolas Cage,Omar Benson Miller,Robert Capron,2010,chosen one|enchanted object|love|spell|training
Poseidon ,Action|Adventure|Drama|Thriller,Wolfgang Petersen,Jimmy Bennett,Mike Vogel,Andre Braugher,2006,cruise|escape|ocean|passenger|water
Alice Through the Looking Glass ,Adventure|Family|Fantasy,James Bobin,Johnny Depp,Alan Rickman,Anne Hathaway,2016,clock|dark fantasy|mad hatter|queen|sequel
Shrek the Third ,Adventure|Animation|Comedy|Family|Fantasy,Chris Miller,Justin Timberlake,Eric Idle,Rupert Everett,2007,disney spoof|fairy tale|prince|princess|tough guy
Warcraft ,Action|Adventure|Fantasy,Duncan Jones,Dominic Cooper,Callum Rennie,Ruth Negga,2016,based on video game|fictional language|fictional war|orc|sword and sorcery
Terminator Genisys ,Action|Adventure|Sci-Fi,Alan Taylor,J.K. Simmons,Emilia Clarke,Matt Smith,2015,alternate timeline|cyborg|future|robot|time machine
The Chronicles of Narnia: The Voyage of the Dawn Treader ,Adventure|Family|Fantasy,Michael Apted,Bruce Spence,Shane Rangi,Laura Brent,2010,dragon|king|mouse|quest|warrior
Pearl Harbor ,Action|Drama|History|Romance|War,Michael Bay,Jennifer Garner,Jaime King,Mako,2001,air raid|black smoke|japanese military|japanese navy|sunday
Transformers ,Action|Adventure|Sci-Fi,Michael Bay,Zack Ward,Michael O'Neill,Kevin Dunn,2007,alien contact|autobot|decepticon|robot vs. robot|teenage hero
Alexander ,Action|Adventure|Biography|Drama|History|Romance|War,Oliver Stone,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,2004,ancient greece|conquest|greek|greek myth|king
Harry Potter and the Order of the Phoenix ,Adventure|Family|Fantasy|Mystery,David Yates,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,2007,battle|magic|school|teacher|wizard
Harry Potter and the Goblet of Fire ,Adventure|Family|Fantasy|Mystery,Mike Newell,Robert Pattinson,Daniel Radcliffe,Rupert Grint,2005,fire|goblet|magic|tournament|wizard
Hancock ,Action|Drama,Peter Berg,Will Smith,Charlize Theron,Eddie Marsan,2008,bully comeuppance|destruction|prison|superhero|tough girl
I Am Legend ,Drama|Horror|Sci-Fi,Francis Lawrence,Will Smith,Alice Braga,Willow Smith,2007,new york city|pandemic|post apocalypse|survivalist|virus
Charlie and the Chocolate Factory ,Adventure|Comedy|Family|Fantasy,Tim Burton,Johnny Depp,Christopher Lee,David Kelly,2005,chocolate|diminution|miniaturization|physical flexability|ticket
Ratatouille ,Animation|Comedy|Family|Fantasy,Brad Bird,Janeane Garofalo,John Ratzenberger,Brian Dennehy,2007,chef|food|french|rat|restaurant
Batman Begins ,Action|Adventure,Christopher Nolan,Christian Bale,Liam Neeson,Morgan Freeman,2005,armored car|gangster|gotham|mixed martial arts|social decay
Madagascar: Escape 2 Africa ,Action|Adventure|Animation|Comedy|Family,Eric Darnell,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,2008,africa|madagascar|new york city|sequel|zoo
Night at the Museum: Battle of the Smithsonian ,Adventure|Comedy|Family|Fantasy,Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,2009,hdtv|motorcycle|museum|security guard|tyrannosaurus rex
X-Men Origins: Wolverine ,Action|Adventure|Fantasy|Sci-Fi|Thriller,Gavin Hood,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,2009,army|civil war|claw fight|commando|wolverine the character
The Matrix Revolutions ,Action|Sci-Fi,Lana Wachowski,Essie Davis,Collin Chou,Nona Gaye,2003,battle|epic|fight|future|machine
Frozen ,Adventure|Animation|Comedy|Family|Fantasy|Musical,Chris Buck,Josh Gad,Maurice LaMarche,Livvy Stubenrauch,2013,magic|sister love|sister sister relationship|snow|snowman
The Matrix Reloaded ,Action|Sci-Fi,Lana Wachowski,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,2003,car motorcycle chase|one against many|oracle|prophecy|stylized violence
Thor: The Dark World ,Action|Adventure|Fantasy,Alan Taylor,Chris Hemsworth,Natalie Portman,Anthony Hopkins,2013,arrest|portal|thor|warrior|weapon
Mad Max: Fury Road ,Action|Adventure|Sci-Fi|Thriller,George Miller,Tom Hardy,Charlize Theron,Zoë Kravitz,2015,australia|desert|escape|on the run|post apocalypse
Angels & Demons ,Mystery|Thriller,Ron Howard,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,2009,conclave|illuminati|murder|reference to bernini|reference to raphael
Thor ,Action|Adventure|Fantasy,Kenneth Branagh,Chris Hemsworth,Natalie Portman,Anthony Hopkins,2011,battle|marvel cinematic universe|scientist|thor|throne
Bolt ,Adventure|Animation|Comedy|Drama|Family,Byron Howard,Chloë Grace Moretz,Diedrich Bader,James Lipton,2008,cat|dog|hamster|new york city|superpower
G-Force ,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Hoyt Yeatman,Kelli Garner,Piper Mackenzie Harris,Niecy Nash,2009,fbi director|guinea pig|household appliance|secret agent|talking mouse
Wrath of the Titans ,Action|Adventure|Fantasy,Jonathan Liebesman,Liam Neeson,Edgar Ramírez,Lily James,2012,ares|hades|titan|underworld|zeus
Dark Shadows ,Comedy|Fantasy|Horror,Tim Burton,Johnny Depp,Chloë Grace Moretz,Christopher Lee,2012,camera shot of feet|cartoon on tv|female stockinged feet|female stockinged soles|foot closeup
Mission: Impossible - Rogue Nation ,Action|Adventure|Thriller,Christopher McQuarrie,Tom Cruise,Jeremy Renner,Sean Harris,2015,capture|computer hacker|mission|rogue agent|spy
The Wolfman ,Drama|Fantasy|Horror|Thriller,Joe Johnston,Anthony Hopkins,Simon Merrells,Art Malik,2010,asylum|death|full moon|transformation|werewolf
The Legend of Tarzan ,Action|Adventure|Drama|Romance,David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump,2016,africa|capture|jungle|male objectification|tarzan
Bee Movie ,Adventure|Animation|Comedy|Family,Steve Hickner,Matthew Broderick,Oprah Winfrey,Rip Torn,2007,bee|dream sequence|egg|scatological humor|squashed bug
Kung Fu Panda 2 ,Action|Adventure|Animation|Comedy|Family,Jennifer Yuh Nelson,Angelina Jolie Pitt,Gary Oldman,Mike Bell,2011,china|kung fu|panda|peacock|tigress
The Last Airbender ,Action|Adventure|Family|Fantasy,M. Night Shyamalan,Seychelle Gabriel,Noah Ringer,Aasif Mandvi,2010,avatar|fire|kingdom|tribe|water
Mission: Impossible III ,Action|Adventure|Thriller,J.J. Abrams,Philip Seymour Hoffman,Tom Cruise,Eddie Marsan,2006,arms dealer|fictional government agency|mission|rescue|vatican
White House Down ,Action|Drama|Thriller,Roland Emmerich,Channing Tatum,Jake Weber,Matt Craven,2013,black u.s. president|president|secret service|tour|white house
Mars Needs Moms ,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Simon Wells,Elisabeth Harnois,Dan Fogler,Tom Everett Scott,2011,boy|martian|rescue|robot|sexism
Flushed Away ,Adventure|Animation|Comedy|Family,David Bowers,Hugh Jackman,Kate Winslet,David Suchet,2006,boat|frog|rat|sewer|toad
Pan ,Adventure|Family|Fantasy,Joe Wright,Hugh Jackman,Cara Delevingne,Nonso Anozie,2015,1940s|child hero|fantasy world|orphan|reference to peter pan
Mr. Peabody & Sherman ,Adventure|Animation|Comedy|Family|Sci-Fi,Rob Minkoff,Ty Burrell,Zach Callison,Karan Brar,2014,dog|father son relationship|inventor|talking dog|time travel
Troy ,Adventure,Wolfgang Petersen,Brad Pitt,Orlando Bloom,Julian Glover,2004,greek|mythology|prince|trojan|troy
Madagascar 3: Europe's Most Wanted ,Adventure|Animation|Comedy|Family,Eric Darnell,Jada Pinkett Smith,Martin Short,Cedric the Entertainer,2012,animal|circus|island name in title|lemur|penguin
Die Another Day ,Action|Adventure|Thriller,Lee Tamahori,Toby Stephens,Colin Salmon,Rick Yune,2002,catfight|clinic|colonel|diamond|patricide
Ghostbusters ,Action|Comedy|Fantasy|Sci-Fi,Paul Feig,Ed Begley Jr.,Kate McKinnon,Zach Woods,2016,ghost|ghostbuster|ghostbusters|male objectification|reboot
Armageddon ,Action|Adventure|Sci-Fi|Thriller,Michael Bay,Bruce Willis,Steve Buscemi,Will Patton,1998,asteroid|astronaut|bomb|meteorite|outer space
Men in Black II ,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,Barry Sonnenfeld,Will Smith,Rosario Dawson,Rip Torn,2002,alien|lingerie|lingerie model|m.i.b.|pug
Beowulf ,Action|Adventure|Animation|Fantasy,Robert Zemeckis,Robin Wright,Anthony Hopkins,Sebastian Roché,2007,creature|demon|king|reward|warrior
Kung Fu Panda 3 ,Action|Adventure|Animation|Comedy|Family,Alessandro Carloni,J.K. Simmons,Angelina Jolie Pitt,Wayne Knight,2016,china|kung fu|panda|pig|village
Mission: Impossible - Ghost Protocol ,Action|Adventure|Thriller,Brad Bird,Tom Cruise,Jeremy Renner,Michael Nyqvist,2011,dubai|kremlin|race against time|russian|terrorist
Rise of the Guardians ,Adventure|Animation|Family|Fantasy,Peter Ramsey,Hugh Jackman,Kamil McFadden,Khamani Griffin,2012,belief|box office hit|children|new york city|tooth
Fun with Dick and Jane ,Comedy|Crime,Dean Parisot,John Michael Higgins,Richard Burgi,David Herman,2005,animal abuse|ceo|heist|suburb|unemployment
